NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ACSL3	3	10.824214935302734	0.08175781	Yes	
row_1	FADS1	4	10.494850158691406	0.16120844	Yes	
row_2	SCD	5	9.50696849822998	0.23318036	Yes	
row_3	CPT1A	13	7.591501235961914	0.29021677	Yes	
row_4	HADHA	21	5.827417850494385	0.33389834	Yes	
row_5	HADHB	23	5.385313510894775	0.37460542	Yes	
row_6	ACADVL	34	4.415666580200195	0.40741315	Yes	
row_7	FADS2	36	4.378042221069336	0.44049478	Yes	
row_8	SLC25A20	39	4.303447723388672	0.4729496	Yes	
row_9	ACSL4	71	3.488739490509033	0.49743637	Yes	
row_10	ACAA2	79	3.316969156265259	0.5221127	Yes	
row_11	ELOVL5	89	3.1468546390533447	0.5453771	Yes	
row_12	HSD17B12	125	2.790177822113037	0.5643271	Yes	
row_13	HSD17B4	142	2.6929640769958496	0.58372074	Yes	
row_14	FASN	233	2.177678108215332	0.5946194	Yes	
row_15	DBI	248	2.1313040256500244	0.60988516	Yes	
row_16	PRKAG2	347	1.8773193359375	0.6180134	Yes	
row_17	PTGS2	383	1.802490472793579	0.6294862	Yes	
row_18	ACACA	463	1.6638715267181396	0.63717806	Yes	
row_19	ACSL1	468	1.6531723737716675	0.64944494	Yes	
row_20	SLC22A5	622	1.471961259841919	0.65108997	Yes	
row_21	PPARD	673	1.4266794919967651	0.6587865	Yes	
row_22	ACSL5	805	1.3116298913955688	0.6605835	Yes	
row_23	ELOVL2	1094	1.1069972515106201	0.65108466	No	
row_24	ELOVL6	1700	0.8332021236419678	0.61983335	No	
row_25	HADH	1742	0.8208303451538086	0.62350214	No	
row_26	ACOT1	2155	0.6936206221580505	0.60317576	No	
row_27	PRKAA2	2267	0.6662200093269348	0.6013284	No	
row_28	HACD2	2434	0.6255420446395874	0.59575856	No	
row_29	ACADS	2625	0.5803346633911133	0.58835655	No	
row_30	NUDT7	2679	0.570010244846344	0.5893815	No	
row_31	SLC27A1	2704	0.5643669962882996	0.59216404	No	
row_32	SLC27A3	2907	0.5226283073425293	0.58358026	No	
row_33	PTGR1	2954	0.513944149017334	0.5846153	No	
row_34	ELOVL3	3469	0.4280356466770172	0.5559461	No	
row_35	ALOX12	3809	0.3778230845928192	0.5377609	No	
row_36	CYP2U1	3851	0.3713183104991913	0.5380267	No	
row_37	MMAA	3864	0.3698011636734009	0.54008126	No	
row_38	ACLY	3918	0.3622736930847168	0.53953356	No	
row_39	PON2	3926	0.36112433671951294	0.5418328	No	
row_40	GGT1	3965	0.3557591438293457	0.542167	No	
row_41	MID1IP1	3968	0.35505449771881104	0.5447308	No	
row_42	PCTP	4168	0.3295838236808777	0.53487176	No	
row_43	MAPKAPK2	4245	0.32131263613700867	0.5325861	No	
row_44	EHHADH	4344	0.30950477719306946	0.52884525	No	
row_45	NUDT19	4490	0.2902451753616333	0.5220408	No	
row_46	PTGES3	4953	0.2417812943458557	0.49518976	No	
row_47	ACBD5	5129	0.22440257668495178	0.48602444	No	
row_48	MORC2	5165	0.22105777263641357	0.4855251	No	
row_49	TBXAS1	5178	0.21882371604442596	0.48643672	No	
row_50	PTGR2	5249	0.21164360642433167	0.48369327	No	
row_51	ABCC1	5260	0.2104368358850479	0.48466557	No	
row_52	MMUT	5517	0.18594813346862793	0.47018057	No	
row_53	ACADM	6194	0.12979118525981903	0.42919642	No	
row_54	THEM5	6478	0.10998383909463882	0.41246012	No	
row_55	ACOT8	6695	0.09574885666370392	0.3997755	No	
row_56	HACD4	7010	0.07514533400535583	0.38085097	No	
row_57	ACOT13	7336	0.05217968299984932	0.36106968	No	
row_58	SLC25A17	7344	0.05181388556957245	0.36102736	No	
row_59	AKR1C3	7439	0.04567979648709297	0.35553756	No	
row_60	HACD1	7451	0.04493815824389458	0.3551949	No	
row_61	ACOT2	7875	0.018733255565166473	0.32907647	No	
row_62	TECR	7885	0.01810845360159874	0.32865483	No	
row_63	HACD3	7908	0.016981903463602066	0.3274176	No	
row_64	PHYH	8129	0.00467317271977663	0.31379518	No	
row_65	LTA4H	8419	-0.010228665545582771	0.29593122	No	
row_66	DECR1	8731	-0.0305908415466547	0.27685562	No	
row_67	SCP2	8924	-0.04226243868470192	0.26525602	No	
row_68	DECR2	9240	-0.06248581036925316	0.24617358	No	
row_69	CRAT	9360	-0.0704968199133873	0.23931964	No	
row_70	CYP2J2	9401	-0.07343214005231857	0.2373923	No	
row_71	ACSF2	9511	-0.07980162650346756	0.23122962	No	
row_72	PTGES	9613	-0.086360402405262	0.22561322	No	
row_73	PTGS1	9784	-0.09749408066272736	0.21579754	No	
row_74	FAAH	9855	-0.10246337205171585	0.21222757	No	
row_75	ACOX3	9932	-0.10821544378995895	0.20832865	No	
row_76	ACBD4	10014	-0.11430604755878448	0.20416544	No	
row_77	PCCA	10119	-0.12167410552501678	0.19863014	No	
row_78	ACSF3	10145	-0.1237281784415245	0.1980148	No	
row_79	PRXL2B	10677	-0.16375930607318878	0.16628954	No	
row_80	CBR1	10772	-0.17158403992652893	0.1617529	No	
row_81	CBR4	10878	-0.17929820716381073	0.15659177	No	
row_82	ACOT4	10965	-0.1870540827512741	0.1526689	No	
row_83	THEM4	11421	-0.22458748519420624	0.12612228	No	
row_84	GGT5	11533	-0.23500753939151764	0.1210104	No	
row_85	CPT2	11709	-0.2501468062400818	0.11203996	No	
row_86	PLA2G4A	11745	-0.253876656293869	0.111789085	No	
row_87	EPHX2	11927	-0.27149325609207153	0.10260775	No	
row_88	PPT1	12110	-0.2917498052120209	0.09351769	No	
row_89	PECR	12189	-0.29883500933647156	0.09093769	No	
row_90	ELOVL4	12438	-0.32938870787620544	0.078035235	No	
row_91	PTGIS	12505	-0.3377700746059418	0.076494955	No	
row_92	ACBD6	12579	-0.3475289046764374	0.07459399	No	
row_93	ACOT7	12610	-0.3513680398464203	0.075391576	No	
row_94	MCEE	12884	-0.3836989998817444	0.061348245	No	
row_95	PRKAB2	12942	-0.39079225063323975	0.0607681	No	
row_96	RXRA	12952	-0.39183101058006287	0.06317571	No	
row_97	ABCD1	13006	-0.3973061740398407	0.0628932	No	
row_98	CROT	13018	-0.39945918321609497	0.065234385	No	
row_99	GPX1	13052	-0.4044322967529297	0.06624745	No	
row_100	PTGDS	13176	-0.4230733811855316	0.061814338	No	
row_101	AMACR	13323	-0.44484180212020874	0.056118168	No	
row_102	PPT2	13532	-0.47788500785827637	0.04682313	No	
row_103	ACOT11	13556	-0.48072949051856995	0.0490346	No	
row_104	CYP1B1	13593	-0.48539480566978455	0.05047434	No	
row_105	HACL1	13610	-0.48813316226005554	0.053176425	No	
row_106	HSD17B8	13674	-0.4978860914707184	0.05303454	No	
row_107	ACOX2	13945	-0.5480172634124756	0.040421415	No	
row_108	PCCB	13998	-0.5583869218826294	0.04142044	No	
row_109	ECI1	14544	-0.6744899749755859	0.012692506	No	
row_110	ELOVL1	14549	-0.6763990521430969	0.01756482	No	
row_111	LTC4S	15091	-0.8408608436584473	-0.00965529	No	
